file,step_index,entry_index,status,select_context,select_type,select_option_count,yourIndex,turn,turnActionCount,firstPlayer,energyAttached,supporterPlayed,stadiumPlayed,retreated,result,p0_deckCount,p0_discardCount,p0_prizeCount,p0_handCount,p0_benchCount,p0_activeExists,p0_activeHp,p0_activeMaxHp,p0_activeEnergyCount,p0_activeToolCount,p0_activeAppearThisTurn,p0_poisoned,p0_burned,p0_asleep,p0_paralyzed,p0_confused,p1_deckCount,p1_discardCount,p1_prizeCount,p1_handCount,p1_benchCount,p1_activeExists,p1_activeHp,p1_activeMaxHp,p1_activeEnergyCount,p1_activeToolCount,p1_activeAppearThisTurn,p1_poisoned,p1_burned,p1_asleep,p1_paralyzed,p1_confused,label
2185200732656,1,0,1,0,0,0,0,0,1,-1,0,0,0,0,-1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1759
2185200732656,1,0,1,0,0,0,0,0,2,0,0,0,0,0,-1,53,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.1761
2185200732656,1,1,1,0,0,0,1,0,3,0,0,0,0,0,-1,53,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,53,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.1758
2185200732656,1,0,1,0,0,0,0,0,4,0,0,0,0,0,-1,47,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0,47,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0.176
2185200732656,1,0,1,0,0,0,0,1,1,0,0,0,0,0,-1,46,0,6,6,1,1,130,130,0,0,1,0,0,0,0,0,47,0,6,6,0,1,130,130,0,0,1,0,0,0,0,0,0.176
2185200732656,1,1,1,0,0,0,1,2,1,0,0,0,0,0,-1,46,0,6,6,1,1,130,130,0,0,0,0,0,0,0,0,46,0,6,7,0,1,130,130,0,0,0,0,0,0,0,0,0.1761
2185200732656,1,1,1,0,0,0,1,2,2,0,1,0,0,0,-1,46,0,6,6,1,1,130,130,0,0,0,0,0,0,0,0,46,0,6,6,0,1,130,130,1,0,0,0,0,0,0,0,0.1762
2185200732656,1,1,1,0,0,0,1,2,3,0,1,0,0,0,-1,46,0,6,6,1,1,130,130,0,0,0,0,0,0,0,0,46,0,6,5,0,1,230,230,1,1,0,0,0,0,0,0,0.1761
2185200732656,1,0,1,0,0,0,0,3,1,0,0,0,0,0,-1,45,0,6,7,1,1,100,130,0,0,0,0,0,0,0,0,46,0,6,5,0,1,230,230,1,1,0,0,0,0,0,0,0.1761
2185200732656,1,0,1,0,0,0,0,3,2,0,1,0,0,0,-1,45,0,6,6,1,1,100,130,1,0,0,0,0,0,0,0,46,0,6,5,0,1,230,230,1,1,0,0,0,0,0,0,0.1762
2185200732656,1,0,1,0,0,0,0,3,3,0,1,0,0,0,-1,45,0,6,5,1,1,100,130,1,0,0,0,0,0,0,0,46,0,6,5,0,1,230,230,1,1,0,0,0,0,0,0,0.0
2185200732656,1,0,1,0,0,0,0,0,1,-1,0,0,0,0,-1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1759
